               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.04972,            0.013935,            0.010053,              0.5566,             0.61556,             0.63152,             0.26533,            0.045701,           0.0069986,             0.03405,           0.0097343,           0.0097343,           0.0097343
                  37,            0.048647,            0.013928,            0.010429,             0.64103,             0.67937,             0.68155,             0.27813,            0.040786,           0.0065401,            0.017694,           0.0097191,           0.0097191,           0.0097191
                  38,             0.04829,            0.013606,           0.0094926,             0.75725,              0.7579,             0.72751,             0.25595,            0.045859,           0.0062827,            0.017303,           0.0097035,           0.0097035,           0.0097035
                  39,            0.049084,            0.013731,           0.0097231,             0.75733,             0.74093,              0.7256,             0.31794,            0.040016,           0.0068624,            0.013858,           0.0096875,           0.0096875,           0.0096875
                  40,            0.048274,            0.013708,           0.0092235,             0.75281,             0.72067,             0.72753,             0.35436,            0.038215,           0.0062519,             0.01664,            0.009671,            0.009671,            0.009671
                  41,            0.048155,            0.013576,           0.0092782,             0.70372,             0.66826,             0.69037,             0.32861,            0.039791,           0.0075183,             0.02705,           0.0096542,           0.0096542,           0.0096542
                  42,            0.047528,            0.013171,           0.0089472,             0.67692,             0.70149,              0.7007,             0.31527,            0.041032,           0.0067542,            0.016158,           0.0096369,           0.0096369,           0.0096369
                  43,            0.047521,            0.013057,           0.0087441,              0.6673,             0.71989,             0.71497,             0.35235,            0.042433,           0.0062971,            0.018797,           0.0096193,           0.0096193,           0.0096193
                  44,              0.0473,            0.013409,           0.0089239,             0.70315,             0.66952,              0.6939,             0.27543,             0.04586,           0.0064346,            0.011565,           0.0096013,           0.0096013,           0.0096013
                  45,            0.047427,            0.013192,           0.0093615,             0.74823,             0.72241,              0.7111,             0.23756,             0.04776,           0.0061288,            0.011789,           0.0095828,           0.0095828,           0.0095828
                  46,            0.047336,            0.013272,           0.0089593,             0.78432,             0.77577,             0.80726,             0.37371,            0.040481,           0.0058964,            0.015037,            0.009564,            0.009564,            0.009564
                  47,            0.046891,            0.013211,           0.0087174,             0.64566,             0.66246,              0.6407,             0.29286,            0.043005,             0.00648,            0.015027,           0.0095448,           0.0095448,           0.0095448
                  48,            0.046229,            0.012918,           0.0082841,             0.75238,             0.68996,             0.68962,             0.30204,            0.041049,           0.0065444,            0.015909,           0.0095252,           0.0095252,           0.0095252
                  49,            0.045653,            0.013132,           0.0084701,             0.59848,               0.704,             0.70103,              0.3412,            0.040221,            0.006489,            0.019162,           0.0095052,           0.0095052,           0.0095052
                  50,            0.046515,            0.013257,            0.009012,              0.6492,             0.69084,              0.6891,              0.3503,            0.038205,            0.006681,            0.013372,           0.0094849,           0.0094849,           0.0094849
                  51,            0.046364,            0.013013,           0.0082012,             0.76432,             0.69827,             0.72757,             0.32461,            0.040597,           0.0064125,            0.013738,           0.0094641,           0.0094641,           0.0094641
                  52,            0.046455,            0.013197,           0.0084865,             0.72271,             0.81998,             0.80271,             0.38176,            0.039985,           0.0059371,            0.013951,            0.009443,            0.009443,            0.009443
                  53,            0.046399,            0.012861,           0.0083797,             0.77689,             0.76707,             0.78094,             0.36191,            0.036569,           0.0057427,            0.011908,           0.0094215,           0.0094215,           0.0094215
                  54,            0.045732,            0.012774,           0.0084847,             0.71095,             0.73992,               0.711,             0.30044,            0.044093,           0.0066922,            0.012173,           0.0093996,           0.0093996,           0.0093996
                  55,            0.045556,            0.012767,           0.0083667,             0.73788,             0.72918,             0.76762,             0.34226,            0.040128,            0.006328,            0.014237,           0.0093773,           0.0093773,           0.0093773
                  56,            0.045548,            0.012828,           0.0084846,             0.74408,             0.76162,             0.76386,             0.37477,            0.038816,           0.0058197,            0.011327,           0.0093547,           0.0093547,           0.0093547
                  57,            0.045399,            0.012814,           0.0080328,             0.77685,             0.60949,             0.71357,             0.33753,             0.04036,           0.0069212,            0.012462,           0.0093317,           0.0093317,           0.0093317
                  58,            0.044649,            0.012736,            0.008645,             0.67917,             0.80747,             0.78024,             0.35681,             0.03811,           0.0059905,              0.0151,           0.0093083,           0.0093083,           0.0093083
                  59,            0.045323,            0.012947,           0.0079934,             0.72132,             0.83252,             0.82561,             0.35466,             0.03714,           0.0053261,            0.013566,           0.0092846,           0.0092846,           0.0092846
                  60,            0.044811,            0.012398,           0.0079315,             0.73974,             0.80341,             0.77669,             0.33478,            0.038552,           0.0058359,            0.013127,           0.0092605,           0.0092605,           0.0092605
                  61,            0.044302,            0.012716,           0.0078508,             0.87297,              0.7871,             0.87927,             0.43051,            0.034411,           0.0053273,            0.013758,           0.0092361,           0.0092361,           0.0092361
                  62,            0.044655,            0.012663,           0.0075943,             0.83028,             0.65273,             0.75879,              0.3675,            0.038783,           0.0062555,            0.012242,           0.0092113,           0.0092113,           0.0092113
                  63,            0.045515,            0.012552,           0.0073702,             0.68872,             0.70281,              0.7271,             0.38161,            0.039713,           0.0059169,            0.012353,           0.0091861,           0.0091861,           0.0091861
                  64,            0.043985,            0.012415,           0.0081094,             0.77448,             0.79552,             0.79258,             0.35106,            0.039655,           0.0059266,            0.012232,           0.0091606,           0.0091606,           0.0091606
                  65,            0.044081,            0.012345,           0.0079975,             0.63624,             0.72336,             0.70087,             0.27891,             0.04149,           0.0065432,            0.014597,           0.0091348,           0.0091348,           0.0091348
                  66,            0.043843,            0.012488,           0.0075984,             0.61539,             0.69329,             0.67495,               0.328,            0.040398,           0.0069933,            0.012721,           0.0091086,           0.0091086,           0.0091086
                  67,            0.043693,            0.012578,           0.0075005,             0.79029,             0.76464,             0.79382,             0.35706,            0.037247,           0.0056472,            0.014605,           0.0090821,           0.0090821,           0.0090821
                  68,            0.043262,            0.012441,           0.0075234,             0.81852,             0.86497,             0.88752,             0.37294,            0.037028,           0.0053827,            0.012307,           0.0090552,           0.0090552,           0.0090552
                  69,            0.043725,            0.012432,           0.0074379,             0.80204,             0.75113,             0.81289,             0.35953,            0.036456,           0.0053635,            0.012855,            0.009028,            0.009028,            0.009028
                  70,            0.043176,             0.01238,            0.007115,              0.7553,             0.72658,             0.73138,             0.38928,            0.038946,           0.0057873,            0.012499,           0.0090004,           0.0090004,           0.0090004
                  71,            0.043295,            0.012138,           0.0074699,             0.70727,             0.73187,              0.7294,             0.31911,            0.040034,           0.0063644,            0.013292,           0.0089726,           0.0089726,           0.0089726
                  72,            0.043438,            0.012194,           0.0074348,             0.85672,             0.77378,             0.80589,             0.39666,            0.036896,            0.005851,           0.0076351,           0.0089444,           0.0089444,           0.0089444
