               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094738,            0.023958,            0.033487,           0.0012688,             0.40435,           0.0018221,          0.00026256,            0.083328,            0.012617,            0.043306,             0.00081,             0.00081,             0.09271
                   1,             0.08747,            0.024745,             0.02933,             0.34533,              0.2363,           0.0025046,          0.00059474,            0.082778,            0.012341,            0.047763,             0.00163,             0.00163,             0.08533
                   2,            0.086492,            0.024895,            0.029529,           0.0062637,            0.069038,           0.0014108,          0.00017702,            0.082607,            0.012152,            0.047143,           0.0024498,           0.0024498,             0.07795
                   3,            0.084132,             0.02481,            0.028736,            0.011559,             0.16476,           0.0052701,          0.00087199,            0.079116,             0.01232,            0.047273,           0.0032694,           0.0032694,            0.070569
                   4,            0.079017,            0.024442,            0.027405,             0.69423,             0.13932,            0.019173,           0.0041275,            0.071408,            0.015624,            0.040612,           0.0040886,           0.0040886,            0.063189
                   5,            0.072187,            0.024384,            0.024134,             0.75616,            0.060606,            0.049488,            0.013245,             0.07451,            0.035389,            0.053555,           0.0049073,           0.0049073,            0.055807
                   6,            0.068561,            0.022873,              0.0218,              0.7354,             0.24156,             0.31347,            0.098154,            0.054944,            0.013109,            0.028034,           0.0057255,           0.0057255,            0.048425
                   7,            0.065747,            0.022504,            0.020345,             0.19803,             0.35199,             0.21385,            0.048751,            0.062804,            0.010417,            0.033643,            0.006543,            0.006543,            0.041043
                   8,            0.063653,            0.021909,            0.018374,             0.91379,             0.15639,             0.23999,             0.09764,            0.054951,            0.011481,            0.041096,           0.0073597,           0.0073597,             0.03366
                   9,            0.061573,            0.021358,            0.018256,              0.4237,             0.45034,             0.33886,             0.11599,            0.051029,           0.0099245,            0.041263,           0.0081755,           0.0081755,            0.026275
                  10,            0.059823,            0.020795,             0.01654,             0.48178,             0.41183,             0.39971,             0.16389,            0.053051,            0.011584,            0.025449,           0.0089903,           0.0089903,             0.01889
                  11,            0.058965,            0.020546,             0.01632,             0.41992,             0.23088,             0.26466,            0.070287,            0.048974,            0.011702,            0.023683,           0.0098039,           0.0098039,            0.011504
                  12,            0.057291,            0.020218,            0.015353,             0.45383,             0.55462,             0.55974,             0.22156,            0.043001,           0.0089009,            0.023954,           0.0099685,           0.0099685,           0.0099685
                  13,            0.055827,            0.019779,            0.015255,             0.43172,             0.50635,             0.40434,             0.18913,            0.049232,           0.0092712,            0.027187,           0.0099685,           0.0099685,           0.0099685
