               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.027138,            0.013347,           0.0048517,             0.86384,             0.95393,             0.96553,             0.58188,             0.02567,           0.0048413,            0.019855,           0.0097491,           0.0097491,           0.0097491
                  36,            0.026648,            0.012832,           0.0046007,             0.93948,             0.90521,             0.95465,             0.61242,            0.026463,           0.0050627,            0.015245,           0.0097343,           0.0097343,           0.0097343
                  37,            0.026749,            0.012653,           0.0048649,             0.90825,             0.91108,             0.93942,             0.54867,            0.027072,           0.0053719,            0.029696,           0.0097191,           0.0097191,           0.0097191
                  38,            0.025986,            0.012713,           0.0043079,             0.96976,             0.93159,             0.97579,             0.60482,            0.026855,            0.005015,           0.0079915,           0.0097035,           0.0097035,           0.0097035
                  39,            0.026094,            0.012804,           0.0043363,             0.89879,             0.92574,             0.96857,             0.60365,            0.026023,           0.0058937,            0.020205,           0.0096875,           0.0096875,           0.0096875
                  40,            0.026133,            0.012582,           0.0046453,             0.88887,             0.92284,             0.95862,             0.64456,            0.023395,           0.0056234,            0.017253,            0.009671,            0.009671,            0.009671
                  41,            0.026025,            0.012637,           0.0042127,             0.87927,             0.92471,             0.94441,              0.5863,            0.025111,           0.0049157,            0.018406,           0.0096542,           0.0096542,           0.0096542
                  42,            0.025835,            0.012383,            0.004395,             0.90607,             0.96019,             0.96779,             0.59797,            0.024413,           0.0048588,            0.019444,           0.0096369,           0.0096369,           0.0096369
                  43,            0.025947,            0.012496,           0.0044666,             0.97992,             0.93786,             0.96953,             0.60155,            0.024354,           0.0052323,           0.0034247,           0.0096193,           0.0096193,           0.0096193
                  44,             0.02531,            0.012368,           0.0045226,              0.7759,             0.80568,             0.79714,             0.49877,            0.027979,           0.0060975,            0.022958,           0.0096013,           0.0096013,           0.0096013
                  45,            0.025793,            0.012605,           0.0050114,             0.87029,             0.92602,             0.94344,             0.59071,            0.025535,           0.0053723,            0.025488,           0.0095828,           0.0095828,           0.0095828
                  46,            0.026119,            0.012841,           0.0046313,             0.94397,             0.93824,              0.9631,             0.58467,            0.025153,           0.0051829,            0.021891,            0.009564,            0.009564,            0.009564
                  47,            0.025398,            0.012501,           0.0041435,             0.90576,             0.87132,              0.9212,             0.54381,            0.026761,           0.0055614,            0.017987,           0.0095448,           0.0095448,           0.0095448
